,words
0,अलग
1,इस्तेमाल किया गया
2,महत्वपूर्ण
3,प्रत्येक
4,बड़ा
5,उपलब्ध
6,लोकप्रिय
7,योग्य
8,बुनियादी
9,ज्ञात
10,विभिन्न
11,कठिन
12,अनेक
13,यूनाइटेड
14,ऐतिहासिक
15,गर्म
16,उपयोगी
17,मानसिक
18,डरा हुआ
19,अतिरिक्त
20,भावनात्मक
21,पुराना
22,राजनीतिक
23,समान
24,सेहतमंद
25,वित्तीय
26,चिकित्सा
27,परंपरागत
28,संघीय
29,पूरा
30,मज़बूत
31,वास्तविक
32,महत्वपूर्ण
33,सफल
34,विद्युतीय
35,महँगा
36,गर्भवती
37,बुद्धिमान
38,दिलचस्प
39,गरीब
40,खुश
41,जवाबदार
42,प्यारा
43,मददगार
44,हाल ही का
45,इच्छुक
46,अच्छा
47,आश्चर्यजनक
48,असंभव
49,गंभीर
50,बहुत बड़ा
51,दुर्लभ
52,तकनीकी
53,ठेठ
54,प्रतिस्पर्द्धी
55,गंभीर
56,इलेक्ट्रोनिक
57,तुरंत
58,अवगत
59,शिक्षात्मक
60,पर्यावरण
61,वैश्विक
62,कानूनी
63,उपयुक्त
64,शुद्ध
65,काबिल
66,खतरनाक
67,नाटकीय
68,कुशल
69,ताकतवर
70,विदेश
71,भूखा
72,व्यावहारिक
73,मनोवैज्ञानिक
74,गंभीर
75,उपयुक्त
76,बहुत
77,पर्याप्त
78,असामान्य
79,एक जैसा
80,सांस्कृतिक
81,मौजूदा
82,प्रसिद्ध
83,शुद्ध
84,डरना
85,ज़ाहिर
86,सावधान
87,बाद वाला
88,अप्रसन्न
89,स्वीकार्य
90,आक्रामक
91,उबाऊ
92,अलग
93,पूर्व का
94,तार्किक
95,तर्कसंगत
96,कठोर
97,प्रशासनिक
98,स्वचालित
99,नागरिक
100,पूर्व
101,बड़ा
102,दक्षिण
103,अनुचित
104,दृश्यमान
105,जीवित
106,गुस्सा
107,निराश
108,रोमांचक
109,दोस्ताना
110,भाग्यशाली
111,वास्तविक
112,क्षमा मांगना
113,कुरूप
114,संभावना नहीं
115,चिंतित
116,विस्तृत
117,जिज्ञासु
118,प्रभावशाली
119,अनौपचारिक
120,भीतरी
121,सुखद
122,यौन
123,अचानक
124,भयानक
125,अक्षम
126,कमज़ोर
127,लकड़ी का
128,सुप्त
129,आत्मविश्वासी
130,सचेत
131,शालीन
132,शर्मिंदा
133,अपराधी
134,अकेला
135,पागल
136,घबराया हुआ
137,अजीब
138,उत्कृष्ट
139,संतोषजनक
140,संदिग्ध
141,लंबा
142,छोटा
143,अधिक
144,कुछ
145,एक
146,सभी
147,अनेक
148,अधिकांश
149,अन्य
150,ऐसा
151,यहां तक ​​की
152,नया
153,अभी
